Inst,Seed,Alpha,InitialNodes,Feasible,Of
instances\TV\eil22_50.csv,4,0.4,DemandPriority,True,719.11
instances\TV\eil22_50.csv,5,0.4,NoInitialNodes,True,617.19
instances\TV\eil22_50.csv,5,0.4,DistancePriority,True,715.36
instances\TV\eil22_50.csv,5,0.4,DemandPriority,True,649.51
instances\TV\eil22_50.csv,6,0.4,NoInitialNodes,True,623.87
instances\TV\eil22_50.csv,6,0.4,DistancePriority,True,690.0
instances\TV\eil22_50.csv,6,0.4,DemandPriority,True,664.53
instances\TV\eil22_50.csv,7,0.4,NoInitialNodes,True,640.79
instances\TV\eil22_50.csv,7,0.4,DistancePriority,True,612.57
instances\TV\eil22_50.csv,7,0.4,DemandPriority,True,660.36
instances\TV\eil22_50.csv,8,0.4,NoInitialNodes,True,534.13
instances\TV\eil22_50.csv,8,0.4,DistancePriority,True,623.7
instances\TV\eil22_50.csv,8,0.4,DemandPriority,True,579.72
instances\TV\eil22_50.csv,9,0.4,NoInitialNodes,True,644.2
instances\TV\eil22_50.csv,9,0.4,DistancePriority,True,728.37
instances\TV\eil22_50.csv,9,0.4,DemandPriority,True,736.01
instances\TV\eil22_50.csv,10,0.4,NoInitialNodes,True,570.94
instances\TV\eil22_50.csv,10,0.4,DistancePriority,True,713.06
instances\TV\eil22_50.csv,10,0.4,DemandPriority,True,528.82
instances\TV\eil22_50.csv,11,0.4,NoInitialNodes,True,564.01
instances\TV\eil22_50.csv,11,0.4,DistancePriority,True,663.25
instances\TV\eil22_50.csv,11,0.4,DemandPriority,True,659.24
instances\TV\eil22_50.csv,12,0.4,NoInitialNodes,True,594.31
instances\TV\eil22_50.csv,12,0.4,DistancePriority,True,647.06
instances\TV\eil22_50.csv,12,0.4,DemandPriority,True,611.12
instances\TV\eil22_50.csv,13,0.4,NoInitialNodes,True,695.13
instances\TV\eil22_50.csv,13,0.4,DistancePriority,True,710.46
instances\TV\eil22_50.csv,13,0.4,DemandPriority,True,650.13
instances\TV\eil22_50.csv,14,0.4,NoInitialNodes,True,695.33
instances\TV\eil22_50.csv,14,0.4,DistancePriority,True,520.43
instances\TV\eil22_50.csv,14,0.4,DemandPriority,True,621.38
instances\TV\eil22_50.csv,15,0.4,NoInitialNodes,True,635.13
instances\TV\eil22_50.csv,15,0.4,DistancePriority,True,631.16
instances\TV\eil22_50.csv,15,0.4,DemandPriority,True,707.98
instances\TV\eil22_50.csv,16,0.4,NoInitialNodes,True,644.73
instances\TV\eil22_50.csv,16,0.4,DistancePriority,True,691.63
instances\TV\eil22_50.csv,16,0.4,DemandPriority,True,728.98
instances\TV\eil22_50.csv,17,0.4,NoInitialNodes,True,586.41
instances\TV\eil22_50.csv,17,0.4,DistancePriority,True,677.15
instances\TV\eil22_50.csv,17,0.4,DemandPriority,True,713.26
instances\TV\eil22_50.csv,18,0.4,NoInitialNodes,True,639.93
instances\TV\eil22_50.csv,18,0.4,DistancePriority,True,527.08
instances\TV\eil22_50.csv,18,0.4,DemandPriority,True,673.03
instances\TV\eil22_50.csv,19,0.4,NoInitialNodes,True,570.35
instances\TV\eil22_50.csv,19,0.4,DistancePriority,True,766.6
instances\TV\eil22_50.csv,19,0.4,DemandPriority,True,666.62
instances\TV\eil22_50.csv,0,0.5,NoInitialNodes,True,750.9
instances\TV\eil22_50.csv,0,0.5,DistancePriority,True,720.56
instances\TV\eil22_50.csv,0,0.5,DemandPriority,True,681.12
instances\TV\eil22_50.csv,1,0.5,NoInitialNodes,True,660.49
instances\TV\eil22_50.csv,1,0.5,DistancePriority,True,742.41
